feature,horizon,bucket_type,method,mean_top_minus_bottom,positive_spread_fraction,mean_monotonicity,n_periods
volatility_4h_7d,2w,decile,asset_time_series,0.05939594678730313,1.0,0.38181818181818183,1
volatility_4h_7d,4w,quintile,asset_time_series,39.80781381294211,1.0,0.7,1
volatility_4h_7d,4w,decile,asset_time_series,0.04116720490242491,1.0,0.5878787878787878,1
volatility_4h_30d,1w,quintile,asset_time_series,0.009603779477095935,1.0,0.6,1
volatility_4h_30d,1w,decile,asset_time_series,0.017100984086969424,1.0,0.28484848484848485,1
volatility_4h_30d,2w,quintile,asset_time_series,0.02074404614349614,1.0,0.3,1
volatility_4h_30d,2w,decile,asset_time_series,0.03414067369225891,1.0,0.3696969696969697,1
volatility_4h_30d,4w,quintile,asset_time_series,0.024731166577258226,1.0,0.49999999999999994,1
volatility_4h_30d,4w,decile,asset_time_series,0.07579051344945234,1.0,0.04242424242424241,1
drawdown_4h_30d,1w,quintile,asset_time_series,0.02412207482358863,1.0,0.8999999999999998,1
drawdown_4h_30d,1w,decile,asset_time_series,0.024688908869226547,1.0,0.5515151515151515,1
drawdown_4h_30d,2w,quintile,asset_time_series,0.07423508120438753,1.0,0.8999999999999998,1
drawdown_4h_30d,2w,decile,asset_time_series,0.06373601753180035,1.0,0.5636363636363636,1
drawdown_4h_30d,4w,quintile,asset_time_series,-39.701458061871364,0.0,0.0,1
drawdown_4h_30d,4w,decile,asset_time_series,-79.4764914872961,0.0,0.09090909090909088,1
volume_shock_4h,1w,quintile,asset_time_series,0.011087586110470586,1.0,0.09999999999999999,1
volume_shock_4h,1w,decile,asset_time_series,-0.019208503634506064,0.0,0.01818181818181818,1
volume_shock_4h,2w,quintile,asset_time_series,0.004774576099072413,1.0,0.6,1
volume_shock_4h,2w,decile,asset_time_series,-0.04182758628556189,0.0,0.2121212121212121,1
volume_shock_4h,4w,quintile,asset_time_series,-39.74772447507139,0.0,-0.3,1
volume_shock_4h,4w,decile,asset_time_series,-0.03074363982569611,0.0,0.06666666666666665,1
